scenario_category,exiobase_sector,weight,notes
# Maps game scenario categories to EXIOBASE 3.8.2 (pxp) product labels.
#
# A scenario category is a named basket of products. A tape record in
# data/tech_choices/options.toml names the category; the engine looks the products up here.
# See data/README.md for the schema and docs/design/red_carbon_contract.md 4.2.
#
# exiobase_sector MUST match a label in the table's index character for character.
# Take the labels from products.txt, not from memory: several contain semicolons, several
# carry their NACE number in brackets, and "Retail  trade services..." has a double space.
# pymrio strips the surrounding quotes products.txt puts round labels containing commas,
# so the label here is unquoted unless it contains a comma of its own.
# redworlds.jobs.tape_records.validate_baskets checks every row against a loaded table.
#
# weight scales a product's share of the cut relative to the others. 1.0 everywhere means
# the basket is cut uniformly, which is what all three Beta Day REDUCE tapes do: the game's
# outcome fraction is a single percentage across the basket. The column exists because a
# future tape may want an uneven basket; nothing reads a weight other than 1.0 yet.
#
# Sprint 2 populates only the three REDUCE categories. The BUILD and SWAP categories are
# listed with their products but are not exercised until sprint 3 (T4-T6).
#
# ---------------------------------------------------------------------------
# buy_less_basket_a - eca_buy_less
# ---------------------------------------------------------------------------
# Basket A from red_carbon_contract.md 5: goods and leisure, deliberately excluding
# housing, food, household energy and vehicle fuel. That exclusion is what makes the tape
# progressive without means-testing - the spending it asks people to forgo rises with
# income, while the necessities it protects do not. ~1.4% of this basket per brick.
buy_less_basket_a,Tobacco products (16),1.0,contract 5 basket A
buy_less_basket_a,Textiles (17),1.0,contract 5 basket A
buy_less_basket_a,Wearing apparel; furs (18),1.0,contract 5 basket A
buy_less_basket_a,Leather and leather products (19),1.0,contract 5 basket A
buy_less_basket_a,Office machinery and computers (30),1.0,contract 5 basket A
buy_less_basket_a,Electrical machinery and apparatus n.e.c. (31),1.0,contract 5 basket A
buy_less_basket_a,"Radio, television and communication equipment and apparatus (32)",1.0,contract 5 basket A
buy_less_basket_a,"Medical, precision and optical instruments, watches and clocks (33)",1.0,contract 5 basket A
buy_less_basket_a,"Motor vehicles, trailers and semi-trailers (34)",1.0,contract 5 basket A
buy_less_basket_a,Furniture; other manufactured goods n.e.c. (36),1.0,contract 5 basket A
buy_less_basket_a,Hotel and restaurant services (55),1.0,contract 5 basket A
buy_less_basket_a,Air transport services (62),1.0,contract 5 basket A
buy_less_basket_a,"Recreational, cultural and sporting services (92)",1.0,contract 5 basket A
#
# ---------------------------------------------------------------------------
# appliances_and_devices - eca_extended_product_lifetimes
# ---------------------------------------------------------------------------
# Things with a replacement cycle that a repair culture lengthens. Furniture is in basket A
# but not here: it wears out rather than being replaced by a working newer model, so "+1
# year of life" does not describe it. The contract is explicit that white goods alone reach
# only ~0.14 brick and that devices are the lever, which is why (30) and (32) matter most.
appliances_and_devices,Office machinery and computers (30),1.0,computers and peripherals; the device lever
appliances_and_devices,Electrical machinery and apparatus n.e.c. (31),1.0,white goods and small appliances
appliances_and_devices,"Radio, television and communication equipment and apparatus (32)",1.0,phones and TVs; the device lever
appliances_and_devices,"Medical, precision and optical instruments, watches and clocks (33)",1.0,cameras and watches
#
# ---------------------------------------------------------------------------
# commuting_vehicle_fuel - eca_remote_work_commuters
# ---------------------------------------------------------------------------
# Deliberately only the two fuels households burn themselves. This is the tape that opts
# into the F_Y correction (scale_direct_emissions), which moves direct household emissions
# by the basket's own change. That is exact only while every product in the basket is a
# fuel actually burnt by the household. Adding the retail margin on fuel (153) or public
# transport (158) would dilute the factor and make the correction approximate, so they are
# left out and listed below as the candidates they are.
commuting_vehicle_fuel,Motor Gasoline,1.0,petrol burnt directly by households
commuting_vehicle_fuel,Gas/Diesel Oil,1.0,road diesel; also some household heating oil
# Not included, on purpose - see the note above:
#   Retail trade services of motor fuel  (the forecourt margin, not a fuel)
#   Other land transportation services   (bus and rail; their emissions sit in F, not F_Y)
#   Biogasoline / Biodiesels             (blended, small as a direct household purchase)
#
# ---------------------------------------------------------------------------
# Sprint 3 categories - listed for completeness, not yet exercised
# ---------------------------------------------------------------------------
electricity_generation,Electricity by nuclear,1.0,BUILD target for eca_nuclear and eca_fusion
electricity_generation,Electricity by Geothermal,1.0,BUILD target for eca_geothermal
fossil_electricity,Electricity by coal,1.0,displaced by a BUILD operating phase
fossil_electricity,Electricity by gas,1.0,displaced by a BUILD operating phase
fossil_electricity,Electricity by petroleum and other oil derivatives,1.0,displaced by a BUILD operating phase
residential_heating,Distribution services of gaseous fuels through mains,1.0,SWAP source for eca_ban_gas_supply
private_motoring,Motor Gasoline,1.0,SWAP source for eca_electric_vehicle_transition
private_motoring,Gas/Diesel Oil,1.0,SWAP source for eca_electric_vehicle_transition
electricity_delivery,Transmission services of electricity,1.0,eca_smart_grid; mechanism still under review
electricity_delivery,Distribution and trade services of electricity,1.0,eca_smart_grid; mechanism still under review
